product_id,variant_id,brand,perfume_name,variant_title,size_or_format,available,price_inr,compare_at_price_inr,sku,product_url,variant_image_url
8898135195902,46808830181630,Mind Games,Castling Extrait De Parfum,100 ML RETAIL,100 ML RETAIL,True,20500.00,20500.00,,https://scentoria.co.in/products/castling-extrait-de-parfum,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/CASTLING.webp?v=1747899495
8491781521662,45320963555582,Escada,Casual Friday EDT,40 ML TESTER,40 ML TESTER,False,9500.00,9500.00,,https://scentoria.co.in/products/casual-friday-edt,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Casual_Friday_40_ML_EDT_Tester.jpg?v=1716445054
8494609498366,45761591214334,Coreterno,Catharsis EDP,10 ML DECANT,10 ML DECANT,True,1250.00,1250.00,,https://scentoria.co.in/products/catharsis-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_DECANT_eacbc20a-4875-401d-95ba-2a7fb31c2c14.png?v=1728318347
8494609498366,45761591247102,Coreterno,Catharsis EDP,20 ML DECANT,20 ML DECANT,True,2400.00,2400.00,,https://scentoria.co.in/products/catharsis-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/20_ML_DECANT_75bf54d1-5f28-4c70-b5d9-e56265d0295e.png?v=1728318358
8494609498366,45761591279870,Coreterno,Catharsis EDP,30 ML DECANT,30 ML DECANT,True,3500.00,3500.00,,https://scentoria.co.in/products/catharsis-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/30_ML_DECANT_ca2c83b8-fd02-489e-af34-fa0969209284.png?v=1728318373
8494609498366,45337163202814,Coreterno,Catharsis EDP,100 ML TESTER,100 ML TESTER,False,9950.00,9950.00,,https://scentoria.co.in/products/catharsis-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Catharsis_100_ML_EDP_Tester.jpg?v=1716530990
8384185958654,45068059607294,Dusita,Cavatina EDP,2.5 ML SAMPLE,2.5 ML SAMPLE,True,400.00,400.00,,https://scentoria.co.in/products/cavatina-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_1855.jpg?v=1713967183
9138787746046,47829361295614,Sospiro,Cavatina EDP,75 ML TESTER,75 ML TESTER,False,10750.00,10750.00,,https://scentoria.co.in/products/cavatina-edp-1,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cavatina_EDP.webp?v=1772190920
8898136277246,46808843944190,Fragrance Du Bois,Cavort EDP,1.5 ML SAMPLE,1.5 ML SAMPLE,True,500.00,,,https://scentoria.co.in/products/cavourt-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cavourt_EDP.webp?v=1765517809
8898136277246,46826076471550,Fragrance Du Bois,Cavort EDP,7.5 ML MINIATURE,7.5 ML MINIATURE,True,2200.00,,,https://scentoria.co.in/products/cavourt-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/s-l1200_13.jpg?v=1765517809
